cell_type,rank_in_panel,protein_name,gene_name,protein_ids,protein_id,median_intensity_cell_log10,cv_percent_cell,n_precursors,median_intensity_plasma_log10,ratio_cell_over_plasma
pbmc,16,Cytochrome c oxidase subunit 6C,COX6C,P09669,P09669,7.35,31.04,3.0,,
pbmc,17,"Malate dehydrogenase, mitochondrial",MDH2,P40926,P40926,7.3,26.8,26.0,,
pbmc,18,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",COX4I1,P13073,P13073,7.3,31.55,13.0,,
pbmc,19,Histone H1.3,H1-3,P16402,P16402,7.29,11.33,6.0,,
pbmc,20,Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2,P04899,P04899,7.28,34.99,24.0,,
pbmc,21,Ubiquitin-40S ribosomal protein S27a,RPS27A,P62979,P62979,7.22,34.92,7.0,,
pbmc,22,"Cytochrome c oxidase subunit 7A2, mitochondrial",COX7A2,P14406,P14406,7.2,21.71,5.0,,
pbmc,23,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,P30048;P30048-2,P30048,7.18,21.19,9.0,,
pbmc,24,Lysozyme C,LYZ,P61626,P61626,7.17,30.47,6.0,4.92,177.64
pbmc,25,Adipocyte plasma membrane-associated protein,APMAP,Q9HDC9,Q9HDC9,7.14,26.83,22.0,4.79,223.36
pbmc,26,Translocon-associated protein subunit alpha,SSR1,P43307,P43307,7.14,15.56,10.0,4.54,404.38
pbmc,27,Endoplasmin,HSP90B1,P14625,P14625,7.14,33.28,46.0,4.25,779.31
pbmc,28,Cytochrome c oxidase subunit NDUFA4,NDUFA4,O00483,O00483,7.14,31.13,4.0,,
pbmc,29,"ATP synthase subunit O, mitochondrial",ATP5PO,P48047,P48047,7.13,26.6,9.0,,
pbmc,30,"Isocitrate dehydrogenase [NADP], mitochondrial",IDH2,P48735,P48735,7.13,27.22,29.0,,
