workflow,cell_type,rank_in_panel,protein_name,gene_name,protein_ids,protein_id,median_intensity_cell_log10,cv_percent_cell,n_precursors,median_intensity_plasma_log10,ratio_cell_over_plasma
Non-magnetic,platelet,20,Isoform SERCA3B of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,ATP2A3,Q93084-1,Q93084-1,7.8,11.8,67.0,3.87,8548.85
Non-magnetic,platelet,21,Myosin regulatory light polypeptide 9,MYL9,P24844,P24844,7.76,8.36,18.0,3.84,8371.36
Non-magnetic,platelet,22,"Isoform 2 of HLA class I histocompatibility antigen, A alpha chain",HLA-A,P04439-2,P04439-2,7.74,5.82,20.0,4.43,2045.82
Non-magnetic,platelet,23,Thromboxane-A synthase,TBXAS1,P24557,P24557,7.71,8.77,50.0,3.29,26107.66
Non-magnetic,platelet,24,Ras-related protein Rab-27B,RAB27B,O00194,O00194,7.67,15.13,22.0,3.74,8539.19
Non-magnetic,platelet,25,Calnexin,CANX,P27824;P27824-2,P27824,7.61,13.93,48.0,3.58,10627.16
Non-magnetic,platelet,26,ADP/ATP translocase 2,SLC25A5,P05141,P05141,7.57,7.61,22.0,4.06,3217.3
Non-magnetic,platelet,27,Tubulin alpha-1C chain,TUBA1C,Q9BQE3,Q9BQE3,7.56,7.07,12.0,4.03,3366.79
Non-magnetic,platelet,28,Junctional adhesion molecule A,F11R,Q9Y624,Q9Y624,7.54,8.67,14.0,4.06,3018.52
Non-magnetic,platelet,29,Stomatin,STOM,P27105,P27105,7.51,5.71,31.0,4.15,2333.82
Non-magnetic,platelet,30,Myosin regulatory light chain 12A,MYL12A,P19105,P19105,7.51,9.56,8.0,4.12,1325.55
Non-magnetic,erythrocyte,1,Hemoglobin subunit beta,HBB,P68871,P68871,10.28,19.67,46.0,5.95,21132.26
Non-magnetic,erythrocyte,2,Hemoglobin subunit alpha,HBA1,P69905,P69905,10.18,23.0,27.0,5.96,16687.67
Non-magnetic,erythrocyte,3,Band 3 anion transport protein,SLC4A1,P02730,P02730,10.05,22.3,76.0,5.69,22654.89
Non-magnetic,erythrocyte,4,"Solute carrier family 2, facilitated glucose transporter member 1",SLC2A1,P11166,P11166,9.26,22.79,24.0,4.87,24240.66
Non-magnetic,erythrocyte,5,Glycophorin-A,GYPA,P02724;P02724-2;P02724-3,P02724,9.17,25.13,4.0,4.61,36149.71
Non-magnetic,erythrocyte,6,Hemoglobin subunit delta,HBD,P02042,P02042,9.06,22.05,19.0,4.34,52046.23
Non-magnetic,erythrocyte,7,Hemoglobin subunit gamma-2,HBG2,P69892,P69892,9.05,21.31,26.0,4.31,55257.62
Non-magnetic,erythrocyte,8,Ammonium transporter Rh type A,RHAG,Q02094,Q02094,9.01,21.86,6.0,4.55,28460.9
Non-magnetic,erythrocyte,9,Stomatin,STOM,P27105,P27105,8.87,25.83,38.0,4.34,34124.95
Non-magnetic,erythrocyte,10,Carbonic anhydrase 1,CA1,P00915,P00915,8.83,23.77,30.0,4.41,26652.85
Non-magnetic,erythrocyte,11,Flotillin-1,FLOT1,O75955,O75955,8.54,25.37,44.0,3.75,62543.47
Non-magnetic,erythrocyte,12,Small integral membrane protein 1,SMIM1,B2RUZ4,B2RUZ4,8.52,23.48,6.0,3.31,160056.09
Non-magnetic,erythrocyte,13,Urea transporter 1,SLC14A1,Q13336,Q13336,8.51,24.89,15.0,3.52,98809.53
Non-magnetic,erythrocyte,14,Blood group Rh(D) polypeptide,RHD,Q02161,Q02161,8.51,21.32,8.0,4.07,27981.44
Non-magnetic,erythrocyte,15,Beta-adducin,ADD2,P35612,P35612,8.45,23.36,75.0,3.74,50806.41
Non-magnetic,erythrocyte,16,55 kDa erythrocyte membrane protein,MPP1,Q00013,Q00013,8.4,28.89,32.0,3.83,35421.49
Non-magnetic,erythrocyte,17,Isoform 2 of Equilibrative nucleoside transporter 1,SLC29A1,Q99808-2,Q99808-2,8.38,29.38,13.0,3.6,56942.38
Non-magnetic,erythrocyte,18,Flavin reductase (NADPH),BLVRB,P30043,P30043,8.33,17.47,22.0,3.93,24650.07
Non-magnetic,erythrocyte,19,Flotillin-2,FLOT2,Q14254,Q14254,8.32,26.16,48.0,3.72,39798.07
Non-magnetic,erythrocyte,20,Isoform 3 of Basigin,BSG,P35613-3,P35613-3,8.28,25.08,14.0,3.68,38492.58
Non-magnetic,erythrocyte,21,Isoform 3 of Alpha-adducin,ADD1,P35611-3,P35611-3,8.27,22.33,52.0,3.79,29963.74
Non-magnetic,erythrocyte,22,Peroxiredoxin-2,PRDX2,P32119,P32119,8.26,24.49,19.0,4.13,13463.2
Non-magnetic,erythrocyte,23,Aquaporin-1,AQP1,P29972,P29972,8.25,25.7,4.0,3.85,24624.84
Non-magnetic,erythrocyte,24,Isoform Er5 of Ankyrin-1,ANK1,P16157-3,P16157-3,8.23,24.9,138.0,4.15,11777.83
Non-magnetic,erythrocyte,25,Isoform Long of Protein 4.2,EPB42,P16452-2,P16452-2,8.23,22.31,42.0,3.83,24984.0
Non-magnetic,erythrocyte,26,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,P04406,P04406,8.22,23.08,24.0,4.77,2826.92
Non-magnetic,erythrocyte,27,"Isoform 2 of Spectrin beta chain, erythrocytic",SPTB,P11277-2,P11277-2,8.16,21.31,196.0,4.29,7443.32
Non-magnetic,erythrocyte,28,Glycophorin-C,GYPC,P04921;P04921-2;P04921-3,P04921,8.1,27.23,3.0,3.57,34096.41
Non-magnetic,erythrocyte,29,"Spectrin alpha chain, erythrocytic 1",SPTA1,P02549,P02549,8.07,24.94,206.0,4.17,7860.86
Non-magnetic,erythrocyte,30,Protein 4.1,EPB41,P11171,P11171,8.05,23.66,61.0,3.89,14397.13
Non-magnetic,pbmc,1,Histone H2A.Z,H2AZ1;H2AZ2,P0C0S5;Q71UI9,P0C0S5,8.8,24.12,6.0,4.51,19493.05
Non-magnetic,pbmc,2,Moesin,MSN,P26038,P26038,8.23,24.56,58.0,5.19,1094.0
Non-magnetic,pbmc,3,Integrin beta-3,ITGB3,P05106,P05106,8.22,24.61,38.0,4.29,8417.15
Non-magnetic,pbmc,4,Integrin alpha-IIb,ITGA2B,P08514,P08514,8.09,15.9,52.0,4.49,3940.09
Non-magnetic,pbmc,5,Histone H1.4,H1-4,P10412,P10412,8.09,26.74,8.0,4.42,4698.49
Non-magnetic,pbmc,6,Fermitin family homolog 3,FERMT3,Q86UX7;Q86UX7-2,Q86UX7,7.8,29.31,52.0,4.12,4769.42
Non-magnetic,pbmc,7,60S ribosomal protein L12,RPL12,P30050,P30050,7.7,27.8,10.0,3.23,29998.8
Non-magnetic,pbmc,8,Isoform 2 of Filamin-A,FLNA,P21333-2,P21333-2,7.69,19.9,151.0,4.36,2162.3
Non-magnetic,pbmc,9,Ras-related protein Rap-1A,RAP1A,P62834,P62834,7.66,27.2,15.0,4.28,2422.07
Non-magnetic,pbmc,10,Ras-related protein Rap-1b,RAP1B,P61224,P61224,7.61,19.45,6.0,4.11,3172.74
Non-magnetic,pbmc,11,60S ribosomal protein L22,RPL22,P35268,P35268,7.58,25.39,6.0,3.55,10635.98
Non-magnetic,pbmc,12,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",NACA,E9PAV3,E9PAV3,7.57,29.17,6.0,3.61,9255.83
Non-magnetic,pbmc,13,"Isoform 2 of HLA class I histocompatibility antigen, A alpha chain",HLA-A,P04439-2,P04439-2,7.57,25.17,21.0,4.28,1925.58
Non-magnetic,pbmc,14,ADP-ribosylation factor 4,ARF4,P18085,P18085,7.57,24.8,7.0,3.6,9085.9
Non-magnetic,pbmc,15,NADH-cytochrome b5 reductase 3,CYB5R3,P00387;P00387-2;P00387-3,P00387,7.52,19.23,18.0,3.65,7506.12
Non-magnetic,pbmc,16,Isoform 3 of Actin-related protein 2/3 complex subunit 4,ARPC4,P59998-3,P59998-3,7.52,24.83,12.0,4.18,2189.28
Non-magnetic,pbmc,17,Histone H1.5,H1-5,P16401,P16401,7.5,28.61,6.0,3.8,5063.4
Non-magnetic,pbmc,18,Ras-related protein Rab-8A,RAB8A,P61006,P61006,7.47,21.21,12.0,4.36,1301.3
Non-magnetic,pbmc,19,Platelet glycoprotein Ib alpha chain,GP1BA,P07359,P07359,7.46,23.81,18.0,4.09,2393.25
Non-magnetic,pbmc,20,Peptidyl-prolyl cis-trans isomerase A,PPIA,P62937,P62937,7.46,26.25,14.0,3.68,5795.25
Non-magnetic,pbmc,21,Microsomal glutathione S-transferase 2,MGST2,Q99735,Q99735,7.43,27.97,4.0,3.62,6479.71
Non-magnetic,pbmc,22,Transmembrane emp24 domain-containing protein 9,TMED9,Q9BVK6,Q9BVK6,7.42,29.83,12.0,3.26,14438.91
Non-magnetic,pbmc,23,ADP-ribosylation factor 1,ARF1,P84077,P84077,7.41,23.41,14.0,4.21,1617.67
Non-magnetic,pbmc,24,RNA-binding protein Raly,RALY,Q9UKM9,Q9UKM9,7.38,28.2,11.0,3.18,16191.75
Non-magnetic,pbmc,25,Isoform 2 of Tubulin alpha-4A chain,TUBA4A,P68366-2,P68366-2,7.35,29.95,34.0,3.97,2389.29
Non-magnetic,pbmc,26,Annexin A1,ANXA1,P04083,P04083,7.35,27.85,26.0,3.96,1751.25
Non-magnetic,pbmc,27,Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2,P04899,P04899,7.35,27.21,19.0,4.3,1121.01
Non-magnetic,pbmc,28,Thromboxane-A synthase,TBXAS1,P24557,P24557,7.34,26.22,42.0,3.41,8716.11
Non-magnetic,pbmc,29,Ras-related protein Rab-27B,RAB27B,O00194,O00194,7.33,17.9,16.0,3.56,5999.77
Non-magnetic,pbmc,30,60S ribosomal protein L6,RPL6,Q02878,Q02878,7.32,29.08,11.0,3.57,5546.27
