workflow,cell_type,rank_in_panel,protein_name,gene_name,protein_ids,protein_id,median_intensity_cell_log10,cv_percent_cell,n_precursors,median_intensity_plasma_log10,ratio_cell_over_plasma
SAX,erythrocyte,16,Nucleosome assembly protein 1-like 4,NAP1L4,Q99733;Q99733-2,Q99733,8.08,37.9,19.0,4.05,10761.72
SAX,erythrocyte,17,Eukaryotic translation initiation factor 5,EIF5,P55010,P55010,7.99,37.41,25.0,3.99,9888.65
SAX,erythrocyte,18,Isoform 8 of Tropomyosin alpha-1 chain,TPM1,P09493-8,P09493-8,7.95,37.92,8.0,4.18,5913.68
SAX,erythrocyte,19,Proteasome subunit beta type-5,PSMB5,P28074,P28074,7.94,36.79,20.0,4.41,3411.03
SAX,erythrocyte,20,Glycophorin-C,GYPC,P04921;P04921-2;P04921-3,P04921,7.87,36.43,3.0,,
SAX,erythrocyte,21,COP9 signalosome complex subunit 3,COPS3,Q9UNS2,Q9UNS2,7.8,37.89,33.0,,
SAX,erythrocyte,22,Erythroid membrane-associated protein,ERMAP,Q96PL5,Q96PL5,7.8,37.47,18.0,,
SAX,erythrocyte,23,Methylosome protein 50,WDR77,Q9BQA1,Q9BQA1,7.79,37.7,14.0,3.33,28766.36
SAX,erythrocyte,24,Eukaryotic translation initiation factor 3 subunit J,EIF3J,O75822,O75822,7.78,33.13,20.0,4.67,1265.6
SAX,erythrocyte,25,Peroxiredoxin-6,PRDX6,P30041,P30041,7.77,37.7,16.0,4.58,1552.67
SAX,erythrocyte,26,Tropomodulin-1,TMOD1,P28289,P28289,7.64,37.25,34.0,3.39,17766.95
SAX,erythrocyte,27,Eukaryotic translation initiation factor 2 subunit 2,EIF2S2,P20042,P20042,7.63,36.66,18.0,,
SAX,erythrocyte,28,WD repeat-containing protein 91,WDR91,A4D1P6,A4D1P6,7.6,37.85,36.0,,
SAX,erythrocyte,29,Nucleoside diphosphate kinase A,NME1,P15531;P15531-2,P15531,7.57,37.16,12.0,4.39,1538.62
SAX,erythrocyte,30,Isoform 6 of Calpastatin,CAST,P20810-6,P20810-6,7.57,37.88,24.0,4.25,2057.75
SAX,pbmc,1,"Actin, cytoplasmic 1",ACTB,P60709,P60709,8.88,9.18,64.0,5.5,2400.44
SAX,pbmc,2,14-3-3 protein zeta/delta,YWHAZ,P63104,P63104,8.26,12.07,26.0,5.21,1109.0
SAX,pbmc,3,Myosin-9,MYH9,P35579,P35579,8.22,7.92,216.0,4.47,5557.57
SAX,pbmc,4,Tropomyosin alpha-4 chain,TPM4,P67936,P67936,8.21,7.59,19.0,4.65,3655.31
SAX,pbmc,5,Isoform Smooth muscle of Myosin light polypeptide 6,MYL6,P60660-2,P60660-2,8.2,11.82,19.0,4.24,9141.4
SAX,pbmc,6,Integrin alpha-IIb,ITGA2B,P08514,P08514,8.19,6.03,59.0,4.89,2005.35
SAX,pbmc,7,Tubulin beta chain,TUBB,P07437,P07437,7.93,8.85,45.0,4.5,2653.69
SAX,pbmc,8,Integrin beta-3,ITGB3,P05106,P05106,7.92,9.73,32.0,4.67,1771.82
SAX,pbmc,9,Tubulin alpha-1C chain,TUBA1C,Q9BQE3,Q9BQE3,7.91,5.73,12.0,4.71,1602.44
SAX,pbmc,10,Heat shock protein HSP 90-beta,HSP90AB1,P08238,P08238,7.89,11.23,34.0,4.88,1024.88
SAX,pbmc,11,Beta-actin-like protein 2,ACTBL2,Q562R1,Q562R1,7.88,14.12,8.0,4.53,2236.67
SAX,pbmc,12,Isoform 2 of Platelet glycoprotein Ib beta chain,GP1BB,P13224-2,P13224-2,7.86,12.5,5.0,4.68,1525.11
SAX,pbmc,13,Vimentin,VIM,P08670,P08670,7.86,11.23,41.0,4.38,2999.99
SAX,pbmc,14,Isoform 2 of Tubulin alpha-4A chain,TUBA4A,P68366-2,P68366-2,7.76,3.98,42.0,4.43,2161.02
SAX,pbmc,15,Myosin regulatory light polypeptide 9,MYL9,P24844,P24844,7.75,8.62,17.0,4.07,4776.74
SAX,pbmc,16,Calmodulin-1,CALM1;CALM2;CALM3,P0DP23;P0DP24;P0DP25,P0DP23,7.74,15.92,14.0,4.73,1032.64
SAX,pbmc,17,Ras-related protein Rap-1b,RAP1B,P61224,P61224,7.74,8.71,6.0,4.69,1127.47
SAX,pbmc,18,Myosin regulatory light chain 12A,MYL12A,P19105,P19105,7.73,4.92,6.0,3.9,6864.05
SAX,pbmc,19,Isoform 2 of Filamin-A,FLNA,P21333-2,P21333-2,7.73,9.27,172.0,4.67,1152.98
SAX,pbmc,20,LIM and senescent cell antigen-like-containing domain protein 1,LIMS1,P48059,P48059,7.66,6.82,19.0,4.12,3476.37
